Timestep,x error,y error
451,0.0,0.0
452,0.0,0.0
453,0.0,0.0
454,-0.00805052376869142,0.005055204890711984
455,0.0,0.0
456,0.0,0.0
457,0.0,0.0
458,-0.00019281158689210542,0.0023167054520039088
459,0.0,0.0
460,0.0,0.0
461,0.0,0.0
462,0.0,0.0
463,-0.004201551468497655,0.0016311983202159652
464,0.0,0.0
465,0.0,0.0
466,0.0,0.0
467,0.0,0.0
468,-0.003624940990313519,0.0013505828519795315
469,0.0,0.0
470,0.0,0.0
471,0.0,0.0
472,0.0,0.0
473,-0.006359265436408634,-0.0018161495850987919
474,0.0,0.0
475,0.0,0.0
476,0.0,0.0
477,0.0,0.0
478,-0.0018914273990944253,0.003401838117327749
479,0.0,0.0
480,0.0,0.0
481,0.0,0.0
482,0.0,0.0
483,-0.003960986120418397,0.0044607188432896905
484,0.0,0.0
485,0.0,0.0
486,0.0,0.0
487,0.0,0.0
488,-0.0057771513479849546,-0.005873152654129576
489,0.0,0.0
490,0.0,0.0
491,0.0,0.0
492,0.0,0.0
493,0.004232738774962996,-0.017620019789621466
494,0.0,0.0
495,0.0,0.0
496,0.0,0.0
497,0.0,0.0
498,-0.0018437061505665042,-0.007684041436806233
499,0.0,0.0
500,0.0,0.0
501,0.0,0.0
502,0.0,0.0
503,0.006695274504483706,-0.017526090984785192
504,0.0,0.0
505,0.0,0.0
506,0.0,0.0
507,0.0,0.0
508,0.0024000683763567565,-0.016624731375099344
509,0.0,0.0
510,0.0,0.0
511,0.0,0.0
512,0.0,0.0
513,0.0035128912044086746,-0.016545970571058
514,0.0,0.0
515,0.0,0.0
516,0.0,0.0
517,-0.0010577456347036218,-0.005378420732981226
518,0.0,0.0
519,0.0,0.0
520,0.0,0.0
521,0.0,0.0
522,0.003766282851525915,-0.027938722368578084
523,0.0,0.0
524,0.0,0.0
525,0.0,0.0
526,0.0,0.0
527,0.004324571334219485,-0.010220683776942074
528,0.0,0.0
529,0.0,0.0
530,0.0,0.0
531,0.0,0.0
532,0.00027543013505848535,-0.010266194014619145
533,0.0,0.0
534,0.0,0.0
535,0.0,0.0
536,0.0,0.0
537,0.00528862579160716,-0.02180420608120137
538,0.0,0.0
539,0.0,0.0
540,0.0,0.0
541,0.0,0.0
542,0.005318022550390822,-0.014891432159815032
543,0.0,0.0
544,0.0,0.0
545,0.0,0.0
546,0.0,0.0
547,-0.0033586903875892915,-0.008032335638007204
548,0.0,0.0
549,0.0,0.0
550,0.0,0.0
551,0.0,0.0
552,0.0031089100931858127,-0.010146008408033147
553,0.0,0.0
554,0.0,0.0
555,0.003992169901454901,-0.020449539910663006
556,0.0,0.0
557,0.0,0.0
558,0.0027379654329564573,-0.010172264376342
559,0.0,0.0
560,0.0,0.0
561,0.0,0.0
562,0.0,0.0
563,0.008487547374844695,-0.017881382160791937
564,0.0,0.0
565,0.0,0.0
566,0.0,0.0
567,-0.004780021283856684,-0.007650789209932007
568,0.0,0.0
569,0.0,0.0
570,0.0,0.0
571,0.0063849129506401425,-0.02662838950960822
572,0.0,0.0
573,0.0,0.0
574,0.005141748766863685,-0.007671783833582246
575,0.0,0.0
576,0.0,0.0
577,0.0,0.0
578,-0.004096895799445832,-0.005191732834106233
579,0.0,0.0
580,0.0,0.0
581,0.005817482268557939,-0.02723104994975234
582,0.0,0.0
583,0.0,0.0
584,0.0,0.0
585,-0.0031603439007383827,0.002106678823093233
586,0.0,0.0
587,0.0,0.0
588,-3.9274249983654173,2.251188957198729
589,0.0,0.0
590,0.0,0.0
591,0.0,0.0
592,-0.005554946623284707,-0.0012770793279059944
593,0.0,0.0
594,0.0,0.0
595,0.0,0.0
596,0.0021062797764095365,-0.004591984203775823
597,0.0,0.0
598,-0.0066549108555449266,0.0006539923632029598
599,-0.00415565215220326,-0.0027851809908963077
600,0.0,0.0
601,-0.0030777260481649193,-0.005842810782707986
602,0.0,0.0
603,0.0,0.0
604,0.0,0.0
605,-0.001037527328708876,0.0024176322803803885
606,0.0,0.0
607,0.0,0.0
608,0.0035625031515280625,-0.0018371423889202987
609,0.0,0.0
610,0.0,0.0
611,-0.00036176205791349503,-0.0009095293827385831
612,0.0011881211094681987,0.0025751546706498374
613,0.0,0.0
614,0.0,0.0
615,0.0,0.0
616,0.0,0.0
617,0.0021723917621407907,-0.0012123172012064032
618,0.0,0.0
619,0.0,0.0
620,0.0,0.0
621,0.0002864649276403952,-0.001586864822730405
622,-0.0011440431264624351,-0.00032204067281504933
623,0.0005086753602903116,0.0030092090365929636
624,0.0,0.0
625,0.003999560277073044,0.0015687797814933901
626,0.005251940438643743,-0.0020389999673859904
627,0.006087475952334387,-0.0012566545746945934
628,0.0,0.0
629,0.0,0.0
630,0.0009879495006330785,-0.0008943600447821609
631,0.0,0.0
632,0.0,0.0
633,0.0,0.0
634,0.0,0.0
635,0.0015553832762265074,-0.0002917025637927395
636,0.0,0.0
637,0.0,0.0
638,0.0,0.0
639,0.0,0.0
640,0.00554758648146958,-0.004509140356866226
641,0.0,0.0
642,0.0,0.0
643,0.0,0.0
